TL-01,G-01,U-01,U-02,U-03,CF-01,CF-02,CF-04,CF-05,CF-06,CF-07,C-01,C-02,EF-01,EF-02,EF-03,EF-05,EF-06,IT-01,IT-02,IT-03,IT-04
Benchling Notebook,AGPL 3.0,No,Amharic,Online documentation,Annotation,All formats,Complete content in document format,Define own templates,Advanced/conditional search,Comments,Audit Trail,ADA,Asset management,Create own plug-ins,Autoupload/folder watch,Calendar,Cross-project workflows,Command line input,No,Browser based,Cloud of own choice
Genemod,Apache 2.0,Unknown,Bengali,"User training (online, on site)",Barcode Scanner,Audio formats,Complete content in machine readable format,Import from internet sources,BLAST Search,External guest permitted,Electronic signature,ASTM,Freezer Management,In-house plugins,Business Logics,,Export possible,Java API,Unknown,Local client,Local
Labfolder (Labforward),Closed Source,Yes,Dutch,Support by provider (Consulting),Browser forms,Database formats,Direct publication option,Import of own templates,Database queries,Notifications,Locking,CROMERRR,Instrument management,On request,Data analysis,Taskboard,Graphical,,Yes,Mobile Application,Provider's Cloud
LabID,MIT,,Egyptian Spoken Arabic,,Chemical editor/sketching,Direct only (CF-01),Formats suitable for long term archiving,Microtitre plate templates,File/data hierarchy,Real-time collaboration,Timestamping,FDA CFR 21 Part 11,Inventory (devices),Other vendor products,Device control,Task management,Import possible,ODBC,,Responsive Design,
Labstep,Mozilla Public Licence 2.0,,English,,Dictation function,Document formats,Formats suitable for publication,Subject specific templates,Filtering,Rights management,Unknown,FERPA,LIMS connectivity,Widgets,,Unknown,No,Other API,,,
SciNote,Open Source,,Freely extensible,,Freehand/Sketches,Image formats,Unknown,Unknown,Full text search,Role management,Versioning,FISMA,Materials database,Atlas CDS (Thermo Fisher Scientific),On request,,Project-related workflows,Python API,,,
Uncountable (Unified Platform),,,French,,HELM editor,MS Office formats,,,Search by command line,Shared calendar(s)/scheduling,,General Data Protection Regulation (GDPR),,Biobank,Unknown,,Reports,RESTful API,,,
Dotmatics,,,German,,Mathematical formula/equation editor,Packed formats,,,Search for reactions by chemical structure,Task assignment,,Good Clinical practice (GCP),Ordering function,BioMed Central (Springer Nature),,,Unknown,SDK,,,
eLabFTW,,,Gujarati,,Plain text editor,Scientific formats,,,Tagging,Unknown,,Good Laboratory Practice (GLP),Sample Tracking,Box,,,Yes,Visual Basic,,,
eLabJournal (eLabNext),,,Hausa,,Rich text editor,Structured formats,,,Unknown,,,Good Manufacturing practice (GMP),,CAS SciFinder (ACS),,,,,,,
Kadi4Mat,,,Hebrew,,Scientific calculator,Table formats,,,,,,GxP,,ChemDoodle (iChemLabs),,,,,,,
LabArchives,,,Hindi,,Symbolic link,Unknown,,,,,,Health Level 7 (HL7),,ChemDraw (Revvity Signals),,,,,,,
Labcollector (AgileBio),,,Indonesian,,Table editor,Video formats,,,,,,HIPAA,,Dataverse,,,,,,,
LabWare,,,Iranian Persian,,With internal links,,,,,,,ISO 27001,,DMP Tool,,,,,,,
Mbook Chemistry-Pro/Enterprise (Mestrelab),,,Italian,,With external links,,,,,,,,,Dropbox,,,,,,,
RSpace,,,Japanese,,XHTML-Editor,,,,,,,SAFE-BioPharma Digital Identity and Signature Standard,,DSpace,,,,,,,
Agilent SLIMS,,,Korean,,,,,,,,,SOC2,,Egnyte,,,,,,,
AI4Green,,,Mandarin Chinese,,,,,,,,,TickITplus,,Elemental Machines,,,,,,,
Arxspan (Bruker BioSpin),,,Marathi,,,,,,,,,,,eLife,,,,,,,
BIOVIA Notebook,,,Modern Standard Arabic,,,,,,,,,,,Evernote,,,,,,,
BIOVIA Scientific Notebook,,,Multilingual,,,,,,,,,,,F1000Research,,,,,,,
BIOVIA Workbook,,,Nigerian Pidgin,,,,,,,,,,,FAIRDOM,,,,,,,
BrightLab,,,Portuguese,,,,,,,,,,,Figshare,,,,,,,
CDD Vault ,,,Spanish,,,,,,,,,,,FlowJo (BD),,,,,,,
Chemotion,,,Russian,,,,,,,,,,,Galaxy,,,,,,,
Datalab,,,Tamil,,,,,,,,,,,Github,,,,,,,
Docollab,,,Telugu,,,,,,,,,,,Google Drive,,,,,,,
E-WorkBook (IDBS),,,Thai,,,,,,,,,,,GoogleDocs,,,,,,,
ecLabNote,,,Turkish,,,,,,,,,,,GraphPad Prism (Dotmatics),,,,,,,
eNovalys,,,Urdu,,,,,,,,,,,iLab (Agilent),,,,,,,
Evernote,,,Vietnamese,,,,,,,,,,,ImageJ,,,,,,,
Exemplar LIMS,,,Wu Chinese,,,,,,,,,,,Immunarch (ImmunoMind),,,,,,,
Findings,,,Yue Chinese,,,,,,,,,,,InDesign (Adobe),,,,,,,
FindMolecule,,,,,,,,,,,,,,JoVE,,,,,,,
Github,,,,,,,,,,,,,,JS Mol,,,,,,,
Herbie,,,,,,,,,,,,,,Jupyter,,,,,,,
Hivebench,,,,,,,,,,,,,,JupyterHub,,,,,,,
Jupyter Notebook,,,,,,,,,,,,,,Ketcher Editor,,,,,,,
JupyterHub,,,,,,,,,,,,,,Label printing (FLUICS),,,,,,,
JupyterLab,,,,,,,,,,,,,,Label Printing (Other),,,,,,,
LabCloud,,,,,,,,,,,,,,LabX (Mettler Toledo),,,,,,,
LabGuru (BioData),,,,,,,,,,,,,,Libre Office,,,,,,,
Labii,,,,,,,,,,,,,,Logger Pro (Vernier),,,,,,,
LabLog,,,,,,,,,,,,,,Marvin JS (ChemAxon),,,,,,,
LabVantage,,,,,,,,,,,,,,MarvinSketch (ChemAxon),,,,,,,
Limsophy,,,,,,,,,,,,,,MassHunter (Agilent),,,,,,,
