ID,Subject,Standard Version (The solution will…..)
C-01,Preservation of evidence,"To ensure the integrity and traceability of research data, modern digital notebooks incorporate features that safeguard evidence throughout its lifecycle. Together, these features create a robust framework for compliance with regulatory standards, enhance reproducibility, and protect the evidentiary value of research data."
C-01-01,Preservation of evidence - Audit Trail,"Provide comprehensive logs that record all actions taken within the notebook, providing transparency and accountability for data changes."
C-01-02,Preservation of evidence - Electronic signature,Provide secure digital signing capabilities that authenticate user identity and confirm the validity of entries.
C-01-03,Preservation of evidence - Locking,"Provide functions that prevent further edits to finalized records, ensuring data remains immutable once approved."
C-01-04,Preservation of evidence - Timestamping,"Automatically record date and time for every entry or modification, supporting chronological traceability."
C-01-05,Preservation of evidence - Versioning,"Provide systems that maintain historical versions of documents and datasets, enabling users to track changes and revert if necessary."
C-01-06,Preservation of evidence - None,Provide no specific evidence-preserving features are required.
C-02,Compliance certification,"Compliance Certification in Electronic Research Notebooks (ERNs) refers to the set of features and standards that ensure the notebook meets regulatory, legal, and industry-specific requirements for data integrity, security, and privacy. These certifications demonstrate that the ERN adheres to frameworks and guidelines governing research data handling. By supporting compliance certifications, ERNs provide confidence that research data is managed in a way that satisfies legal obligations, promotes reproducibility, and safeguards sensitive information."
C-02-04,Compliance certification - FDA CFR 21 Part 11,Ensure electronic records and signatures are trustworthy and equivalent to paper records in regulated environments.
C-02-07,Compliance certification - General Data Protection Regulation (GDPR),Protect personal data and privacy for individuals within the EU.
C-02-08,Compliance certification - Good Clinical practice (GCP),Provide standards for ethical and compliant handling of clinical and biological data.
C-02-14,Compliance certification - ISO 27001,Specify requirements for an information security management system.
C-02-18,Compliance certification - None,Provide no specific compliance certification is required.
C-02-19,Compliance certification - Human Tissue Act (HTA）,Provide standards for ethical and compliant handling of clinical and biological data.
CF-01,Varied input mechanisms,"Data entry into the ERN can be done through various input options. On the one hand, different sources can be supported (e.g. voice through dictation function, handwritten through digital pen, barcode scanner) and on the other hand, several input elements or editors can be made available to the user. In addition to free text notes, which are usually possible in every ERN, input can be made e.g. via structured forms, tables or links to other objects within the ERN (internal links)."
CF-01-01,Varied input mechanisms - Annotation,Allow users to add comments or notes directly to entries for clarification or additional context.
CF-01-02,Varied input mechanisms - Barcode scanner,"Enable quick data entry by scanning barcodes, often used for sample or inventory tracking."
CF-01-03,Varied input mechanisms - Browser forms,Support structured data input through web-based forms within the notebook interface.
CF-01-04,Varied input mechanisms - Chemical editor,Provide tools for drawing and editing chemical structures directly in the notebook.
CF-01-05,Varied input mechanisms - Dictation function,"Allow voice input for hands-free data entry, converting speech to text."
CF-01-06,Varied input mechanisms - Equation editor,Provide facilitate the insertion of mathematical equations in a structured format.
CF-01-07,Varied input mechanisms - External hyperlinks,Enable linking to external resources or websites for reference.
CF-01-08,Varied input mechanisms - HELM editor,Provide specialized editor for representing complex biomolecules using HELM notation.
CF-01-09,Varied input mechanisms - Internal hyperlinks,Allow linking between different sections or objects within the notebook for easy navigation.
CF-01-10,Varied input mechanisms - Plain text editor,"Provide basic text input option for simple, unformatted notes."
CF-01-11,Varied input mechanisms - Rich text editor,"Support formatted text with styling options like bold, italics, and lists."
CF-01-12,Varied input mechanisms - Scientific calculator,Provide calculation capabilities for scientific operations within the notebook. One example is automatic calculation of molar concentrations from masses and volumes.
CF-01-13,Varied input mechanisms - Sketching,Enable freehand drawing or sketching for diagrams and visual notes.
CF-01-14,Varied input mechanisms - Symbolic link,Create references to other files or objects without duplicating content.
CF-01-15,Varied input mechanisms - Table editor,Allow structured data entry in tabular format for organized records.
CF-01-16,Varied input mechanisms - XHTML-Editor,Support advanced content creation using XHTML for structured and styled entries.
CF-02,Data preview,"All ERNs should be able to import and attach all filetypes, but none will be able to preview all filetypes. The ability to preview data in various formats within an electronic research notebook (ERN) is crucial for streamlining workflows and maintaining data integrity. It allows researchers to quickly verify the content and context of attached files without switching to external applications, saving time and reducing errors. This functionality enhances collaboration by ensuring all team members can access and understand shared data regardless of specialized software requirements. Additionally, it supports compliance and traceability in regulated environments by providing an auditable way to confirm file contents. Ultimately, data preview improves decision-making and efficiency by enabling immediate visual inspection of diverse data types, from documents and images to scientific formats."
CF-02-01,Data preview - Audio formats,"Provide the ability to preview audio formats such as .mp3, .wav etc."
CF-02-02,Data preview - Database formats,"Provide the ability to preview database formats such as .rdx, .sql etc."
